Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),Net Job Change,Percent Job Change,AI Impact Score,Career Stability Index,Median Salary Norm,High-Opportunity Career Score
Horticultural Therapist,Transportation,Increasing,Moderate,64465.34,High School,20,4924,3463,44.24,38.43,Australia,55.81,-1461,-29.67,2,-18.27,0.29,0.15
Chemical Engineer,Transportation,Decreasing,Moderate,30176.11,High School,5,8442,1097,55.1,71.76,Australia,72.92,-7345,-87.01,2,-24.57,0.0,-0.26
Government Social Research Officer,Entertainment,Increasing,High,52757.13,Phd,3,1602,106,98.82,31.23,Australia,56.9,-1496,-93.38,3,-64.22,0.19,-0.11
"Geneticist, Molecular",Manufacturing,Decreasing,High,31319.64,Bachelor’S Degree,11,9768,1504,8.82,1.53,Usa,68.06,-8264,-84.6,3,-83.31,0.01,-0.04
Fashion Designer,Transportation,Decreasing,Low,36071.33,Master’S Degree,8,8163,3350,96.96,44.09,Usa,77.17,-4813,-58.96,1,-32.97,0.05,-0.05
Radio Broadcast Assistant,Entertainment,Increasing,Moderate,135060.12,Master’S Degree,9,9935,3615,75.22,34.71,China,39.47,-6320,-63.61,2,-41.53,0.88,0.2
Contractor,Entertainment,Decreasing,High,80575.05,Associate Degree,16,7716,1208,48.59,51.69,Usa,28.65,-6508,-84.34,3,-40.75,0.42,-0.07
"Radiographer, Therapeutic",Entertainment,Decreasing,High,52743.28,High School,1,3712,8358,84.0,3.38,Canada,78.1,4646,125.16,3,120.93,0.19,0.85
Emergency Planning/Management Officer,Healthcare,Increasing,Moderate,97444.31,Associate Degree,15,6901,7938,5.61,3.28,China,58.6,1037,15.03,2,14.53,0.56,0.52
Site Engineer,Healthcare,Decreasing,Low,104503.92,Bachelor’S Degree,6,6442,6221,89.52,79.12,China,22.65,-221,-3.43,1,-0.72,0.62,0.24
"Administrator, Sports",Retail,Decreasing,Low,114897.28,Phd,20,1822,7922,70.5,26.55,Canada,21.11,6100,334.8,1,245.91,0.71,1.77
"Teacher, English As A Foreign Language",Finance,Decreasing,Low,75569.43,Bachelor’S Degree,14,7870,9990,20.39,52.88,Australia,20.15,2120,26.94,1,12.69,0.38,0.36
Insurance Broker,Transportation,Increasing,High,130006.93,Associate Degree,19,5924,2728,86.45,4.25,Canada,79.65,-3196,-53.95,3,-51.66,0.83,0.32
Child Psychotherapist,Transportation,Increasing,Low,60176.86,Master’S Degree,20,9597,5743,53.17,47.27,Australia,46.18,-3854,-40.16,1,-21.18,0.25,0.07
"Nurse, Children'S",It,Increasing,Low,37377.43,Bachelor’S Degree,11,3736,3134,1.39,27.79,Uk,61.1,-602,-16.11,1,-11.64,0.06,0.17
"Loss Adjuster, Chartered",Manufacturing,Increasing,Moderate,87996.37,Associate Degree,5,5752,9402,5.14,76.24,China,66.7,3650,63.46,2,15.08,0.48,0.47
Energy Engineer,Manufacturing,Decreasing,Moderate,135871.96,High School,13,1225,4194,93.49,91.34,India,51.5,2969,242.37,2,20.99,0.88,1.26
Communications Engineer,Entertainment,Decreasing,High,122827.52,Associate Degree,4,7785,2062,94.92,40.16,Usa,29.01,-5723,-73.51,3,-43.99,0.77,0.12
Photographer,It,Increasing,Moderate,118964.31,Associate Degree,13,668,3838,39.03,50.71,China,47.44,3170,474.55,2,233.91,0.74,2.27
Air Broker,Entertainment,Decreasing,High,47221.99,Associate Degree,0,4404,524,97.09,80.01,India,34.29,-3880,-88.1,3,-17.61,0.14,-0.25
Secretary/Administrator,Finance,Increasing,Moderate,72436.99,High School,0,3530,7892,5.59,50.27,Germany,25.65,4362,123.57,2,61.45,0.35,0.75
Sports Therapist,Finance,Increasing,Moderate,123924.89,Phd,15,4736,3441,20.14,95.42,Brazil,77.99,-1295,-27.34,2,-1.25,0.78,0.14
It Sales Professional,Education,Increasing,Moderate,98642.15,Associate Degree,18,3618,4187,84.88,39.05,China,26.75,569,15.73,2,9.59,0.57,0.42
Claims Inspector/Assessor,It,Decreasing,High,115361.75,Bachelor’S Degree,12,6132,4720,14.25,61.48,Brazil,44.99,-1412,-23.03,3,-8.87,0.71,0.24
Control And Instrumentation Engineer,Manufacturing,Increasing,Low,141057.77,Bachelor’S Degree,2,6635,4993,2.82,82.71,Uk,70.9,-1642,-24.75,1,-4.28,0.93,0.23
"Lighting Technician, Broadcasting/Film/Video",Transportation,Decreasing,High,75659.11,Phd,14,9455,222,34.19,3.65,Brazil,78.03,-9233,-97.65,3,-94.09,0.38,0.01
Chartered Management Accountant,Retail,Increasing,High,109968.03,Master’S Degree,2,8808,8733,53.7,86.54,Germany,39.73,-75,-0.85,3,-0.11,0.67,0.24
Product/Process Development Scientist,It,Decreasing,High,138569.51,Master’S Degree,1,8865,1657,40.53,89.0,Australia,51.43,-7208,-81.31,3,-8.94,0.9,-0.02
Immunologist,Education,Decreasing,Moderate,101453.26,Master’S Degree,10,9906,4425,86.95,99.28,Australia,75.0,-5481,-55.33,2,-0.4,0.6,-0.04
Jewellery Designer,Manufacturing,Increasing,Moderate,141679.03,Bachelor’S Degree,14,1821,4271,86.62,50.43,China,63.11,2450,134.54,2,66.69,0.93,0.97
"Designer, Fashion/Clothing",It,Increasing,High,39734.95,Phd,10,6616,9716,38.01,28.66,Australia,23.81,3100,46.86,3,33.43,0.08,0.43
Music Tutor,Manufacturing,Decreasing,Low,95835.78,High School,16,7600,2450,65.63,31.01,China,67.03,-5150,-67.76,1,-46.75,0.55,0.1
Water Engineer,Retail,Increasing,High,137880.52,Bachelor’S Degree,20,4967,9824,76.12,11.14,Uk,67.99,4857,97.79,3,86.89,0.9,0.93
Licensed Conveyancer,Finance,Increasing,Low,84039.09,Master’S Degree,8,9100,2376,37.57,18.15,Germany,47.7,-6724,-73.89,1,-60.48,0.45,0.09
Market Researcher,Healthcare,Decreasing,Moderate,57895.58,High School,5,9998,8252,13.47,85.76,Canada,43.45,-1746,-17.46,2,-2.49,0.23,0.04
"Nurse, Mental Health",Transportation,Decreasing,High,142762.08,Master’S Degree,1,8229,6349,51.85,93.08,India,54.07,-1880,-22.85,3,-1.58,0.94,0.21
Cabin Crew,Healthcare,Decreasing,Low,142492.37,Master’S Degree,20,576,4014,99.1,27.99,Germany,62.87,3438,596.88,1,429.81,0.94,2.88
"Designer, Furniture",Entertainment,Increasing,Moderate,122113.6,High School,11,6245,4348,14.15,22.4,China,44.38,-1897,-30.38,2,-23.57,0.77,0.34
Database Administrator,It,Increasing,Moderate,75313.75,Associate Degree,9,1020,4226,8.91,39.43,Usa,23.6,3206,314.31,2,190.38,0.38,1.55
Insurance Underwriter,Entertainment,Decreasing,High,68358.54,High School,0,7185,3793,95.89,2.51,Canada,79.12,-3392,-47.21,3,-46.02,0.32,0.2
Dancer,Finance,Increasing,Moderate,61783.87,Bachelor’S Degree,8,1899,8414,96.35,35.55,Australia,51.54,6515,343.08,2,221.11,0.26,1.65
Translator,Education,Increasing,High,34395.44,Bachelor’S Degree,18,6143,1061,50.28,46.05,Uk,46.94,-5082,-82.73,3,-44.63,0.04,-0.16
"Accountant, Chartered Public Finance",Transportation,Decreasing,Low,117972.16,High School,4,7404,4154,92.94,88.68,Australia,42.17,-3250,-43.9,1,-4.97,0.73,0.08
Commercial Art Gallery Manager,Finance,Decreasing,Moderate,89298.52,Phd,5,8660,1831,61.63,39.98,China,47.48,-6829,-78.86,2,-47.33,0.49,0.01
Video Editor,Education,Increasing,Moderate,60255.27,High School,18,8610,8096,29.58,38.5,Usa,20.15,-514,-5.97,2,-3.67,0.25,0.24
Copy,Retail,Increasing,High,125485.78,High School,10,2592,9671,69.37,40.83,Canada,58.12,7079,273.11,3,161.6,0.8,1.51
Advertising Art Director,Retail,Increasing,Low,121962.55,Associate Degree,6,1810,4668,22.01,51.72,Uk,24.82,2858,157.9,1,76.23,0.77,1.01
Financial Controller,Entertainment,Decreasing,Low,137729.91,Master’S Degree,8,1386,2113,99.59,16.08,China,66.32,727,52.45,1,44.02,0.9,0.73
Fine Artist,Finance,Decreasing,Moderate,61167.19,Master’S Degree,5,8317,8033,71.59,43.35,Uk,78.91,-284,-3.41,2,-1.93,0.26,0.23
"Secretary, Company",Manufacturing,Decreasing,High,47391.7,High School,1,7862,3951,18.41,38.55,Germany,57.46,-3911,-49.75,3,-30.57,0.14,0.03
Broadcast Engineer,Education,Increasing,Low,40919.68,Phd,8,3749,5385,79.7,49.41,India,63.46,1636,43.64,1,22.08,0.09,0.35
Brewing Technologist,Healthcare,Decreasing,Moderate,88579.1,Associate Degree,19,5471,4938,95.14,83.98,Uk,79.67,-533,-9.74,2,-1.56,0.49,0.16
Production Manager,Entertainment,Increasing,High,133299.74,Master’S Degree,19,5775,8521,6.54,6.06,China,35.24,2746,47.55,3,44.67,0.86,0.73
Arts Administrator,Retail,Increasing,High,129656.68,Phd,12,384,9251,83.19,99.64,Germany,28.89,8867,2309.11,3,8.31,0.83,9.49
Chemical Engineer,It,Decreasing,Moderate,105304.86,Associate Degree,12,6804,1591,76.36,29.29,Australia,76.16,-5213,-76.62,2,-54.18,0.63,0.09
"Clinical Scientist, Histocompatibility And Immunogenetics",Retail,Decreasing,High,85213.71,Master’S Degree,3,4085,1647,96.37,14.74,India,30.02,-2438,-59.68,3,-50.88,0.46,0.16
Aid Worker,Education,Increasing,Moderate,76786.81,Phd,17,269,5835,93.34,29.84,China,21.23,5566,2069.14,2,1451.71,0.39,8.6
Publishing Copy,Entertainment,Increasing,High,147093.01,Master’S Degree,13,7149,2320,87.14,78.76,Uk,36.59,-4829,-67.55,3,-14.35,0.98,0.09
"Psychotherapist, Dance Movement",Education,Decreasing,High,95782.63,Master’S Degree,11,7259,6887,4.95,55.24,Australia,58.0,-372,-5.12,3,-2.29,0.55,0.28
"Production Designer, Theatre/Television/Film",Transportation,Increasing,High,35941.01,Phd,20,5856,507,81.77,28.61,China,50.82,-5349,-91.34,3,-65.21,0.05,-0.14
Corporate Treasurer,It,Increasing,Moderate,132470.3,Master’S Degree,10,4787,7242,26.01,46.01,Brazil,37.86,2455,51.28,2,27.69,0.85,0.62
Marine Scientist,Transportation,Decreasing,Low,40257.94,Phd,4,3939,2438,51.55,27.35,Germany,69.6,-1501,-38.11,1,-27.68,0.09,0.09
Furniture Designer,Healthcare,Decreasing,Low,36746.81,High School,9,8791,7690,98.96,97.79,India,57.58,-1101,-12.52,1,-0.28,0.06,-0.03
Recruitment Consultant,Retail,Increasing,Low,36985.54,Master’S Degree,1,4226,3191,55.71,84.21,Germany,58.39,-1035,-24.49,1,-3.87,0.06,-0.03
Forensic Scientist,Healthcare,Increasing,High,60441.72,High School,13,5991,5977,66.6,52.13,Canada,35.59,-14,-0.23,3,-0.11,0.25,0.22
Technical Author,Healthcare,Increasing,Low,133903.62,Associate Degree,16,4234,3861,35.37,66.03,India,37.7,-373,-8.81,1,-2.99,0.87,0.33
Firefighter,Entertainment,Decreasing,Low,35487.89,Phd,3,7744,2950,48.39,81.96,Germany,26.61,-4794,-61.91,1,-11.17,0.05,-0.18
"Designer, Blown Glass/Stained Glass",Healthcare,Increasing,Low,113522.12,Bachelor’S Degree,11,2779,9271,11.12,18.75,Uk,40.91,6492,233.61,1,189.81,0.7,1.39
"Engineer, Biomedical",Healthcare,Increasing,Low,142853.13,High School,13,8580,2366,31.3,56.65,Uk,62.34,-6214,-72.42,1,-31.4,0.94,0.12
Occupational Therapist,Retail,Increasing,Low,122869.56,High School,20,9215,2341,6.81,9.8,Usa,79.56,-6874,-74.6,1,-67.29,0.77,0.2
Financial Adviser,Finance,Decreasing,Moderate,108840.11,Master’S Degree,6,6884,6100,14.28,70.98,Brazil,22.39,-784,-11.39,2,-3.31,0.66,0.24
Barista,Manufacturing,Decreasing,Moderate,113913.89,Master’S Degree,20,6055,7607,78.39,65.23,Uk,51.95,1552,25.63,2,8.91,0.7,0.42
Corporate Investment Banker,Healthcare,Increasing,Moderate,75841.81,High School,13,5371,7541,6.07,35.64,China,21.87,2170,40.4,2,26.0,0.38,0.47
Secretary/Administrator,Finance,Decreasing,Low,117690.94,Phd,7,1790,5859,13.17,82.63,China,31.82,4069,227.32,1,39.49,0.73,1.18
Insurance Underwriter,Retail,Decreasing,Moderate,104461.85,Bachelor’S Degree,18,1039,2161,77.09,54.98,Usa,34.2,1122,107.99,2,48.62,0.62,0.75
Archivist,It,Increasing,Moderate,85057.85,Master’S Degree,6,6462,6203,11.68,11.22,India,61.0,-259,-4.01,2,-3.56,0.46,0.39
"Editor, Film/Video",Finance,Increasing,Low,141030.62,High School,20,7887,8218,90.24,54.71,Uk,75.88,331,4.2,1,1.9,0.93,0.43
"Engineer, Chemical",Healthcare,Decreasing,High,31950.03,Associate Degree,20,8722,8781,71.58,91.74,India,20.69,59,0.68,3,0.06,0.02,0.03
Tourism Officer,Retail,Increasing,High,107400.99,Bachelor’S Degree,10,6761,1097,50.98,42.57,Uk,59.52,-5664,-83.77,3,-48.11,0.65,0.03
"Production Assistant, Television",Retail,Decreasing,Moderate,35243.89,Associate Degree,9,602,6126,67.88,80.08,India,62.01,5524,917.61,2,182.79,0.04,3.74
"Investment Banker, Operational",Finance,Decreasing,Moderate,31999.0,Associate Degree,19,5488,5183,38.86,12.26,Canada,26.01,-305,-5.56,2,-4.88,0.02,0.25
Chief Technology Officer,Education,Increasing,Low,146814.23,Phd,18,7357,9785,75.88,63.65,Uk,52.62,2428,33.0,1,12.0,0.97,0.53
Hydrogeologist,Manufacturing,Increasing,Moderate,101070.56,Master’S Degree,3,1529,4717,94.97,96.98,Canada,44.76,3188,208.5,2,6.3,0.59,1.02
Solicitor,Retail,Decreasing,Low,108948.43,Phd,9,3377,9625,86.23,51.36,Brazil,56.52,6248,185.02,1,89.99,0.66,1.08
Theme Park Manager,Transportation,Decreasing,Moderate,99751.26,Bachelor’S Degree,0,4739,910,9.5,77.88,Germany,62.03,-3829,-80.8,2,-17.87,0.58,-0.08
Mudlogger,Entertainment,Decreasing,Low,128649.26,Phd,15,312,5065,76.15,99.66,Usa,27.4,4753,1523.4,1,5.18,0.82,6.34
"Psychotherapist, Child",Retail,Decreasing,Moderate,68497.42,Bachelor’S Degree,1,204,9607,57.97,63.01,Usa,54.87,9403,4609.31,2,1704.99,0.32,18.64
Bookseller,Healthcare,Decreasing,High,45802.44,Associate Degree,18,6676,1853,9.39,7.83,Australia,49.45,-4823,-72.24,3,-66.59,0.13,0.03
Accounting Technician,Manufacturing,Decreasing,Low,42027.31,Bachelor’S Degree,0,9155,7836,2.78,59.13,Australia,66.93,-1319,-14.41,1,-5.89,0.1,0.1
Haematologist,It,Decreasing,High,140471.72,Bachelor’S Degree,3,2442,1753,13.49,12.34,India,33.35,-689,-28.21,3,-24.73,0.92,0.43
Software Engineer,Healthcare,Decreasing,High,102875.23,Phd,5,6308,1454,36.35,1.74,Germany,23.51,-4854,-76.95,3,-75.61,0.61,0.17
Textile Designer,Retail,Increasing,High,45452.45,Associate Degree,9,3145,454,31.08,0.71,China,30.02,-2691,-85.56,3,-84.96,0.13,-0.01
Optometrist,Manufacturing,Decreasing,Low,83236.44,Master’S Degree,18,3301,3850,22.03,33.59,Uk,64.07,549,16.63,1,11.04,0.44,0.4
"Surveyor, Mining",Transportation,Increasing,Low,113165.72,Master’S Degree,1,7425,6225,47.79,63.2,China,32.38,-1200,-16.16,1,-5.95,0.69,0.25
Private Music Teacher,Education,Increasing,Moderate,89394.36,Associate Degree,8,301,6650,94.52,71.05,Usa,76.64,6349,2109.3,2,610.64,0.49,8.67
Airline Pilot,Education,Decreasing,High,36978.97,High School,7,3647,1516,9.49,53.25,Canada,66.86,-2131,-58.43,3,-27.32,0.06,-0.08
Administrator,Education,Increasing,Moderate,134309.48,Master’S Degree,4,9567,7128,55.89,25.67,Canada,59.38,-2439,-25.49,2,-18.95,0.87,0.38
"Designer, Ceramics/Pottery",Healthcare,Increasing,Moderate,99146.01,High School,15,3217,2204,17.66,60.27,Brazil,70.9,-1013,-31.49,2,-12.51,0.58,0.17
"Engineer, Structural",Finance,Increasing,Low,67133.97,High School,1,6733,5129,12.47,82.23,Uk,78.63,-1604,-23.82,1,-4.23,0.31,0.05
"Radiographer, Diagnostic",Manufacturing,Increasing,High,135659.98,Bachelor’S Degree,2,6220,4111,42.18,56.67,Usa,74.37,-2109,-33.91,3,-14.69,0.88,0.26
Statistician,It,Decreasing,Moderate,38822.41,Associate Degree,2,2428,6985,43.37,30.8,India,74.71,4557,187.69,2,129.88,0.07,0.98
Advertising Account Planner,Manufacturing,Decreasing,Low,105034.36,Master’S Degree,8,5340,9365,31.1,49.09,Usa,55.59,4025,75.37,1,38.37,0.63,0.64
Youth Worker,Healthcare,Decreasing,Moderate,42086.42,Master’S Degree,14,1766,755,40.1,30.84,Germany,23.94,-1011,-57.25,2,-39.59,0.1,0.01
Counselling Psychologist,Transportation,Increasing,Moderate,109445.97,Master’S Degree,8,2495,7220,11.16,14.45,Brazil,23.79,4725,189.38,2,162.01,0.66,1.21
Agricultural Engineer,Healthcare,Increasing,Low,142403.04,Master’S Degree,13,1407,7728,25.35,28.78,Australia,44.4,6321,449.25,1,319.96,0.94,2.29
Radiation Protection Practitioner,It,Increasing,High,109024.99,High School,1,1881,9953,9.73,39.9,Canada,45.38,8072,429.13,3,257.91,0.66,2.09
Regulatory Affairs Officer,It,Decreasing,High,143398.14,High School,11,8832,1394,92.61,86.77,China,78.92,-7438,-84.22,3,-11.14,0.94,-0.01
Medical Laboratory Scientific Officer,Transportation,Decreasing,High,102122.84,Associate Degree,16,8573,8746,92.01,44.14,Canada,49.83,173,2.02,3,1.13,0.6,0.36
Corporate Investment Banker,Entertainment,Decreasing,Moderate,91622.97,Master’S Degree,16,9063,1841,90.12,28.64,Australia,39.24,-7222,-79.69,2,-56.86,0.51,0.05
Passenger Transport Manager,It,Increasing,Moderate,74077.95,Associate Degree,15,8911,794,73.17,51.69,India,57.73,-8117,-91.09,2,-44.01,0.37,-0.11
"Production Designer, Theatre/Television/Film",It,Increasing,High,80474.52,Bachelor’S Degree,15,3141,3389,33.55,20.51,Usa,46.25,248,7.9,3,6.28,0.42,0.4
Learning Mentor,It,Decreasing,Moderate,59683.17,High School,10,4141,5707,61.95,16.6,India,34.04,1566,37.82,2,31.54,0.25,0.48
Advertising Account Executive,Manufacturing,Increasing,Moderate,87398.64,Phd,8,7612,7113,27.55,19.59,Canada,49.24,-499,-6.56,2,-5.27,0.48,0.36
"Engineer, Water",Education,Increasing,Low,130797.34,Associate Degree,4,3285,7537,31.41,65.82,Germany,49.81,4252,129.44,1,44.24,0.84,0.87
Planning And Development Surveyor,Transportation,Increasing,Moderate,82448.38,Associate Degree,10,6799,710,32.66,94.01,Usa,54.55,-6089,-89.56,2,-5.36,0.44,-0.21
"Surveyor, Commercial/Residential",Education,Increasing,Low,56582.87,Associate Degree,9,2316,4033,77.52,19.81,Uk,41.1,1717,74.14,1,59.45,0.22,0.6
Television Production Assistant,Healthcare,Increasing,Moderate,130491.35,Bachelor’S Degree,17,4472,6161,73.16,80.51,Germany,39.67,1689,37.77,2,7.36,0.84,0.46
Financial Trader,Retail,Increasing,Moderate,32760.05,Bachelor’S Degree,13,1862,616,11.03,24.63,Australia,27.11,-1246,-66.92,2,-50.44,0.02,-0.03
Dramatherapist,Finance,Decreasing,Moderate,53352.83,Phd,6,2918,9010,32.25,41.16,Usa,63.26,6092,208.77,2,122.84,0.19,1.07
Tree Surgeon,Entertainment,Increasing,High,74953.03,Associate Degree,10,1515,8376,18.33,26.0,India,72.77,6861,452.87,3,335.12,0.37,2.15
Occupational Psychologist,Healthcare,Decreasing,High,34571.07,Bachelor’S Degree,2,6426,2090,47.5,4.17,Usa,59.27,-4336,-67.48,3,-64.66,0.04,0.03
"Engineer, Drilling",Entertainment,Increasing,High,127502.04,Associate Degree,11,9243,5479,57.61,41.38,Germany,63.29,-3764,-40.72,3,-23.87,0.81,0.26
English As A Foreign Language Teacher,It,Decreasing,Moderate,110005.71,High School,17,3990,4331,63.39,50.07,Australia,36.44,341,8.55,2,4.27,0.67,0.38
Pathologist,It,Increasing,High,62819.65,High School,5,6595,8386,50.3,29.14,Uk,70.64,1791,27.16,3,19.24,0.27,0.4
Homeopath,Manufacturing,Increasing,Low,88129.69,High School,18,1934,8353,83.09,27.2,China,22.62,6419,331.9,1,241.63,0.48,1.69
Chief Executive Officer,Education,Increasing,Low,49817.09,High School,4,6794,6776,59.24,54.07,Uk,35.88,-18,-0.26,1,-0.12,0.17,0.19
Ceramics Designer,Healthcare,Decreasing,High,118679.18,Bachelor’S Degree,8,5792,8804,30.89,5.43,China,43.18,3012,52.0,3,49.18,0.74,0.71
"Scientist, Product/Process Development",Healthcare,Decreasing,High,82742.56,Master’S Degree,4,1515,9411,27.9,78.29,Uk,44.25,7896,521.19,3,113.15,0.44,2.28
Food Technologist,It,Increasing,Low,56336.88,High School,18,189,227,16.21,92.36,Usa,26.58,38,20.11,1,1.54,0.22,0.17
Environmental Health Practitioner,Finance,Decreasing,High,64522.18,Master’S Degree,3,7433,9433,26.47,1.03,Canada,68.56,2000,26.91,3,26.63,0.29,0.49
Science Writer,Finance,Decreasing,High,49915.69,Associate Degree,13,6070,4010,76.93,94.33,Uk,31.81,-2060,-33.94,3,-1.92,0.17,-0.07
Music Tutor,Manufacturing,Increasing,Moderate,73632.86,Associate Degree,9,5598,8057,19.11,20.42,China,24.66,2459,43.93,2,34.96,0.36,0.52
Waste Management Officer,Healthcare,Increasing,Moderate,39960.84,High School,19,6111,4207,38.59,55.09,Usa,63.45,-1904,-31.16,2,-13.99,0.08,0.04
Planning And Development Surveyor,Manufacturing,Increasing,High,90608.96,High School,10,6958,1279,27.46,57.73,Germany,66.68,-5679,-81.62,3,-34.5,0.51,-0.05
Brewing Technologist,Healthcare,Increasing,Moderate,51974.37,High School,19,4364,7596,33.68,71.03,Germany,50.1,3232,74.06,2,21.46,0.18,0.44
Environmental Consultant,Retail,Increasing,High,56074.44,High School,13,5923,8628,30.0,88.6,Brazil,46.1,2705,45.67,3,5.21,0.22,0.28
"Programmer, Applications",It,Increasing,High,139253.44,Associate Degree,4,5247,6124,96.64,57.58,Usa,56.42,877,16.71,3,7.09,0.91,0.47
Occupational Psychologist,Transportation,Decreasing,Low,146145.28,Associate Degree,5,3500,9873,36.32,35.32,Uk,78.44,6373,182.09,1,117.77,0.97,1.21
"Accountant, Chartered Management",Manufacturing,Decreasing,Moderate,59963.97,High School,14,4412,4427,23.4,61.28,China,57.88,15,0.34,2,0.13,0.25,0.19
Automotive Engineer,Manufacturing,Decreasing,High,96089.5,Bachelor’S Degree,15,5979,3181,31.39,56.61,Australia,61.3,-2798,-46.8,3,-20.31,0.55,0.11
Patent Examiner,Manufacturing,Increasing,Low,50235.37,Master’S Degree,17,6690,5816,60.08,89.74,Australia,63.95,-874,-13.06,1,-1.34,0.17,0.03
"Editor, Commissioning",Retail,Decreasing,Moderate,75244.72,Master’S Degree,2,6612,9102,7.58,10.7,Canada,69.66,2490,37.66,2,33.63,0.38,0.53
"Surveyor, Planning And Development",Finance,Increasing,Moderate,86115.38,Phd,2,5116,298,51.57,60.66,China,38.66,-4818,-94.18,2,-37.05,0.47,-0.12
"Engineer, Electronics",Healthcare,Increasing,High,110397.48,Bachelor’S Degree,14,1098,8507,49.55,28.88,Germany,74.5,7409,674.77,3,479.9,0.67,3.11
Primary School Teacher,Healthcare,Increasing,High,34150.16,Master’S Degree,18,4518,1956,17.85,2.78,Usa,42.71,-2562,-56.71,3,-55.13,0.03,0.08
Cabin Crew,Transportation,Increasing,Moderate,55437.57,Master’S Degree,9,8639,5324,37.0,65.33,India,50.63,-3315,-38.37,2,-13.3,0.21,0.01
"Geologist, Wellsite",Retail,Decreasing,Low,37934.15,Bachelor’S Degree,10,2065,9736,72.07,35.98,Usa,58.93,7671,371.48,1,237.82,0.07,1.7
"Designer, Industrial/Product",Healthcare,Increasing,Moderate,117327.72,Bachelor’S Degree,19,887,6751,35.0,34.87,Uk,56.67,5864,661.1,2,430.58,0.73,3.06
Commercial/Residential Surveyor,Education,Increasing,Moderate,148727.86,Bachelor’S Degree,16,535,7777,28.99,96.06,Uk,36.93,7242,1353.64,2,53.33,0.99,5.72
Wellsite Geologist,Transportation,Increasing,High,45783.06,Associate Degree,14,6418,7033,27.49,51.72,Australia,49.21,615,9.58,3,4.63,0.13,0.22
Police Officer,It,Increasing,High,72174.29,Bachelor’S Degree,19,1473,8366,72.92,99.72,Uk,71.41,6893,467.96,3,1.31,0.35,1.98
"Civil Engineer, Consulting",It,Decreasing,High,118415.15,Phd,14,4685,7652,74.27,38.86,India,65.82,2967,63.33,3,38.72,0.74,0.66
"Surveyor, Commercial/Residential",Retail,Increasing,High,89939.5,Phd,10,1550,6058,93.78,95.83,Usa,49.32,4508,290.84,3,12.13,0.5,1.33
"Presenter, Broadcasting",Manufacturing,Decreasing,Moderate,74561.97,High School,4,791,8069,44.0,75.36,Brazil,55.64,7278,920.1,2,226.71,0.37,3.87
Print Production Planner,Manufacturing,Decreasing,High,111951.31,High School,2,7776,8550,80.58,29.55,Brazil,44.13,774,9.95,3,7.01,0.68,0.46
"Teacher, Special Educational Needs",Healthcare,Decreasing,Moderate,136395.86,Associate Degree,3,2451,1032,73.89,73.48,Brazil,41.03,-1419,-57.89,2,-15.35,0.89,0.11
Industrial Buyer,Transportation,Increasing,Moderate,40104.55,Phd,2,8761,6671,75.28,46.76,China,73.6,-2090,-23.86,2,-12.7,0.08,0.09
Technical Author,Retail,Decreasing,Low,78288.87,Bachelor’S Degree,19,618,5911,59.47,44.95,Brazil,68.99,5293,856.47,1,471.49,0.4,3.71
"Accountant, Chartered Public Finance",Entertainment,Decreasing,Moderate,106135.09,Bachelor’S Degree,14,4963,6521,5.17,96.48,Canada,65.14,1558,31.39,2,1.11,0.63,0.33
Event Organiser,It,Decreasing,Low,71471.6,Associate Degree,11,5989,6098,78.73,77.36,Usa,60.39,109,1.82,1,0.41,0.35,0.18
Dealer,It,Increasing,High,142178.94,High School,17,3145,5611,54.3,93.05,Brazil,34.17,2466,78.41,3,5.45,0.93,0.61
Analytical Chemist,Retail,Decreasing,Moderate,112188.74,Phd,5,3600,9769,65.2,45.26,China,40.66,6169,171.36,2,93.8,0.68,1.06
Games Developer,Finance,Decreasing,High,101910.07,Associate Degree,8,3691,9480,49.37,4.49,Uk,60.17,5789,156.84,3,149.8,0.6,1.09
Fast Food Restaurant Manager,Education,Increasing,Moderate,119061.85,Bachelor’S Degree,2,9546,7310,32.06,46.08,Brazil,32.74,-2236,-23.42,2,-12.63,0.74,0.29
"Surveyor, Planning And Development",Finance,Increasing,Low,81092.03,Bachelor’S Degree,18,3031,3010,66.86,55.66,Usa,33.41,-21,-0.69,1,-0.31,0.43,0.26
"Engineer, Electronics",Retail,Increasing,High,80604.85,Associate Degree,19,7254,1640,57.0,10.16,China,43.79,-5614,-77.39,3,-69.53,0.42,0.09
Neurosurgeon,Education,Decreasing,Low,60691.06,Master’S Degree,18,3604,9862,40.91,29.02,Uk,53.06,6258,173.64,1,123.25,0.26,0.98
Music Therapist,Entertainment,Increasing,Moderate,90726.75,Master’S Degree,1,9505,5222,40.59,75.02,Australia,41.68,-4283,-45.06,2,-11.26,0.51,0.05
Medical Physicist,Transportation,Decreasing,High,43400.12,Phd,16,9545,1516,44.85,62.06,Australia,38.28,-8029,-84.12,3,-31.91,0.11,-0.19
Land/Geomatics Surveyor,Education,Decreasing,High,101233.52,Associate Degree,4,3447,2766,16.6,72.92,Germany,35.49,-681,-19.76,3,-5.35,0.59,0.18
